DATE,PRCP,TAVG,TMAX,TMIN
2023-04-24,0.02,27.22222222222222,33.888888888888886,25.0
2023-04-25,0.0,23.88888888888889,32.22222222222222,21.11111111111111
2023-04-26,0.0,22.77777777777778,28.333333333333332,20.555555555555557
2023-04-27,0.0,26.666666666666668,30.555555555555557,21.666666666666668
2023-04-28,0.0,27.77777777777778,32.22222222222222,24.444444444444443
2023-04-29,0.46,24.444444444444443,32.22222222222222,21.666666666666668
2023-04-30,0.0,24.444444444444443,31.666666666666668,21.666666666666668
2023-05-01,0.0,26.11111111111111,29.444444444444443,22.77777777777778
2023-05-02,0.0,27.77777777777778,32.22222222222222,24.444444444444443
2023-05-03,0.0,28.333333333333332,32.77777777777778,25.0
2023-05-04,0.0,30.0,34.44444444444444,25.555555555555557
2023-05-05,0.0,31.11111111111111,38.333333333333336,26.11111111111111
2023-05-06,0.0,32.22222222222222,39.44444444444444,27.22222222222222
2023-05-07,0.0,30.0,39.44444444444444,27.22222222222222
2023-05-08,0.94,25.0,37.22222222222222,23.88888888888889
2023-05-09,0.01,25.0,27.22222222222222,23.88888888888889
2023-05-10,2.3,26.666666666666668,30.0,25.0
2023-05-11,0.59,27.22222222222222,31.11111111111111,23.88888888888889
2023-05-12,0.71,25.555555555555557,31.11111111111111,23.88888888888889
2023-05-13,0.64,25.555555555555557,29.444444444444443,23.333333333333332
2023-05-14,0.22,23.333333333333332,27.22222222222222,22.22222222222222
2023-05-15,0.0,26.666666666666668,30.555555555555557,22.22222222222222
2023-05-16,0.0,30.0,34.44444444444444,24.444444444444443
2023-05-17,0.0,31.666666666666668,37.22222222222222,26.666666666666668
2023-05-18,0.0,31.666666666666668,37.22222222222222,26.666666666666668
2023-05-19,0.01,31.11111111111111,37.22222222222222,26.666666666666668
2023-05-20,0.0,31.11111111111111,37.22222222222222,27.77777777777778
2023-05-21,1.19,31.11111111111111,37.22222222222222,26.11111111111111
2023-05-22,0.0,31.666666666666668,37.22222222222222,26.11111111111111
2023-05-23,0.02,30.555555555555557,37.22222222222222,23.88888888888889
2023-05-24,0.04,29.444444444444443,35.0,23.88888888888889
2023-05-25,0.02,29.444444444444443,35.0,26.666666666666668
2023-05-26,0.0,28.333333333333332,33.888888888888886,26.666666666666668
2023-05-27,0.37,30.0,33.888888888888886,25.555555555555557
2023-05-28,0.0,29.444444444444443,33.888888888888886,25.555555555555557
2023-05-29,0.0,28.88888888888889,33.333333333333336,25.0
2023-05-30,0.0,28.88888888888889,33.333333333333336,25.0
2023-05-31,0.0,29.444444444444443,32.77777777777778,25.555555555555557
2023-06-01,0.0,30.555555555555557,35.55555555555556,26.11111111111111
2023-06-02,0.0,30.555555555555557,36.666666666666664,27.77777777777778
2023-06-03,0.09,30.0,36.666666666666664,27.22222222222222
2023-06-04,0.0,30.555555555555557,35.55555555555556,27.22222222222222
2023-06-05,0.67,28.88888888888889,35.0,25.0
2023-06-06,1.19,27.22222222222222,32.77777777777778,25.0
2023-06-07,0.13,28.333333333333332,32.77777777777778,25.555555555555557
2023-06-08,0.0,29.444444444444443,32.77777777777778,26.11111111111111
2023-06-09,0.62,28.333333333333332,32.77777777777778,25.555555555555557
2023-06-10,1.08,27.77777777777778,32.77777777777778,25.555555555555557
2023-06-11,0.11,27.22222222222222,30.555555555555557,25.555555555555557
2023-06-12,0.0,28.333333333333332,32.22222222222222,25.555555555555557
2023-06-13,0.82,29.444444444444443,35.0,26.11111111111111
2023-06-14,0.19,28.333333333333332,35.0,26.11111111111111
2023-06-22,0.0,30.555555555555557,36.111111111111114,27.22222222222222
2023-06-23,0.2,30.0,36.111111111111114,27.77777777777778
2023-06-24,0.0,29.444444444444443,35.0,27.22222222222222
2023-06-25,1.29,28.333333333333332,34.44444444444444,25.555555555555557
2023-06-26,0.03,28.333333333333332,34.44444444444444,25.555555555555557
2023-06-27,0.31,28.88888888888889,34.44444444444444,26.11111111111111
2023-06-28,1.82,28.88888888888889,33.888888888888886,25.555555555555557
2023-06-29,0.0,30.0,33.888888888888886,25.555555555555557
2023-06-30,0.0,31.11111111111111,35.55555555555556,26.666666666666668
2023-07-01,0.0,29.444444444444443,35.55555555555556,26.666666666666668
2023-07-02,0.66,28.333333333333332,35.55555555555556,24.444444444444443
2023-07-03,0.29,28.333333333333332,34.44444444444444,24.444444444444443
2023-07-04,0.0,30.555555555555557,35.0,24.444444444444443
2023-07-05,0.0,31.11111111111111,35.55555555555556,27.22222222222222
2023-07-06,0.0,31.11111111111111,36.111111111111114,26.666666666666668
2023-07-07,0.0,31.11111111111111,36.666666666666664,27.22222222222222
2023-07-08,0.0,31.11111111111111,36.666666666666664,27.22222222222222
2023-07-09,0.0,30.0,36.666666666666664,26.666666666666668
2023-07-10,0.0,30.555555555555557,35.55555555555556,26.666666666666668
2023-07-11,0.0,31.11111111111111,36.111111111111114,27.22222222222222
2023-07-12,0.0,31.11111111111111,36.111111111111114,27.22222222222222
2023-07-13,0.0,30.555555555555557,36.111111111111114,27.22222222222222
2023-07-14,0.0,31.11111111111111,36.111111111111114,27.22222222222222
2023-07-15,0.0,31.666666666666668,35.55555555555556,27.77777777777778
